DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,SCALEB,SCALEG,SCALEE,PAYHELP,ENERGYASST,COLDMA,HOTMA
532.0,880.69,0.0,0.0,0,0,0,-2,0,0,0
4264.19,208.93,0.0,0.0,0,0,0,-2,0,0,0
2178.78,2651.95,0.0,0.0,0,0,0,-2,0,0,0
717.21,422.56,0.0,0.0,0,0,0,-2,0,0,0
1447.38,1545.59,0.0,0.0,0,0,0,-2,0,0,0
1032.83,432.39,0.0,0.0,0,0,0,-2,0,0,0
1050.05,0.0,0.0,0.0,0,0,0,-2,0,0,0
533.77,148.42,0.0,0.0,0,0,0,-2,0,0,0
1506.8,0.0,0.0,678.2,0,0,0,-2,0,0,0
1238.42,377.79,0.0,0.0,0,0,3,0,1,0,0
695.17,0.0,0.0,0.0,2,0,0,-2,0,0,0
163.26,602.86,0.0,0.0,0,0,0,-2,0,0,0
1158.68,0.0,0.0,0.0,0,0,0,-2,0,0,0
782.54,705.1,0.0,0.0,0,0,0,-2,0,0,0
1367.45,0.0,0.0,0.0,2,1,0,-2,0,0,0
992.21,0.0,0.0,0.0,0,0,0,-2,0,0,0
1227.29,0.0,0.0,945.72,0,0,0,-2,0,0,0
1957.25,1543.77,0.0,0.0,0,0,0,-2,0,0,0
677.04,0.0,0.0,0.0,2,0,3,1,0,0,1
1689.2,0.0,0.0,0.0,0,0,0,-2,0,0,0
1686.31,585.84,0.0,0.0,2,0,0,-2,0,0,0
497.05,214.82,0.0,0.0,0,0,0,-2,0,0,0
1817.67,558.29,0.0,0.0,0,0,0,-2,0,0,0
341.62,704.98,0.0,0.0,0,0,0,-2,0,0,0
1778.66,0.0,0.0,0.0,0,2,0,-2,0,0,0
1017.24,955.29,0.0,0.0,3,0,0,-2,0,0,0
581.1,567.17,0.0,0.0,0,0,0,-2,0,0,0
1690.76,0.0,0.0,0.0,0,0,0,-2,0,0,0
968.27,903.06,0.0,0.0,1,3,2,1,1,0,0
1385.45,1976.84,0.0,0.0,0,0,0,-2,0,0,0
1162.78,561.37,0.0,0.0,0,0,0,-2,0,0,0
877.51,0.0,0.0,0.0,0,0,0,-2,0,0,0
1902.55,0.0,0.0,0.0,0,0,0,-2,0,0,0
1161.73,634.64,0.0,0.0,0,0,0,-2,0,0,0
1105.47,1623.58,0.0,0.0,0,0,0,-2,0,0,0
2192.76,296.36,0.0,0.0,0,0,0,-2,0,0,0
2349.09,740.17,0.0,0.0,0,0,0,-2,0,0,0
614.96,6.83,0.0,0.0,0,0,0,-2,0,0,0
3226.46,1154.87,0.0,0.0,0,2,0,-2,0,0,0
542.29,0.0,0.0,0.0,0,0,0,-2,0,0,0
100.07,841.6,0.0,0.0,0,0,0,-2,0,0,0
793.76,474.39,0.0,0.0,0,0,3,0,0,0,0
1142.32,430.78,0.0,0.0,0,0,0,-2,0,0,0
1061.47,1257.58,0.0,0.0,0,0,0,-2,0,0,0
2446.96,0.0,0.0,0.0,0,0,0,-2,0,0,0
1275.63,445.19,0.0,0.0,1,1,1,0,0,0,0
2277.47,605.93,0.0,0.0,0,0,0,-2,0,0,0
1726.02,602.19,0.0,0.0,3,0,0,-2,0,0,0
1566.29,0.0,0.0,0.0,0,0,0,-2,0,0,0
1363.66,0.0,0.0,0.0,0,0,0,-2,0,0,0
904.2,611.24,0.0,0.0,0,0,0,-2,0,0,0
2069.55,1408.9,0.0,0.0,0,0,0,-2,0,0,0
589.69,449.3,0.0,0.0,0,0,0,-2,0,0,0
1790.26,0.0,0.0,0.0,0,0,0,-2,0,0,0
52.56,264.39,0.0,0.0,2,0,0,-2,0,0,0
2025.67,0.0,0.0,0.0,0,0,0,-2,0,0,0
901.21,659.47,0.0,0.0,0,0,0,-2,0,0,0
1981.85,739.07,0.0,0.0,0,0,0,-2,0,0,0
1622.8,682.31,0.0,0.0,0,0,0,-2,0,0,0
1867.8,0.0,2010.31,0.0,0,0,0,-2,0,0,0
837.33,0.0,0.0,0.0,0,0,0,-2,0,0,0
1230.76,0.0,0.0,0.0,0,0,0,-2,0,0,0
1407.94,0.0,0.0,0.0,2,0,3,0,0,0,0
1921.0,0.0,0.0,0.0,0,0,0,-2,0,0,0
787.28,321.49,0.0,0.0,0,0,0,-2,0,0,0
662.54,0.0,0.0,0.0,0,0,0,-2,0,0,0
754.32,828.2,0.0,0.0,3,3,0,-2,0,0,0
884.91,0.0,0.0,0.0,0,0,0,-2,0,0,0
776.24,651.27,0.0,0.0,0,0,0,-2,0,0,0
2539.5,653.69,0.0,0.0,0,0,0,-2,0,0,0
1590.27,0.0,0.0,0.0,0,0,3,0,0,0,0
1579.49,744.47,0.0,0.0,0,0,0,-2,0,0,0
4102.25,0.0,0.0,2573.48,0,0,0,-2,0,0,0
748.32,0.0,0.0,0.0,0,0,0,-2,0,0,0
2077.44,0.0,0.0,0.0,0,0,0,-2,0,0,0
949.67,491.99,0.0,0.0,0,0,0,-2,0,0,0
2694.56,1048.33,0.0,0.0,0,0,3,0,0,0,0
3797.34,0.0,0.0,0.0,0,0,0,-2,0,0,0
749.05,545.6,0.0,0.0,0,0,0,-2,0,0,0
663.75,483.14,0.0,0.0,0,0,0,-2,0,0,0
1117.42,0.0,1454.99,0.0,0,0,0,-2,0,0,0
957.51,0.0,0.0,0.0,2,0,0,-2,0,0,0
565.01,522.78,0.0,0.0,0,0,0,-2,0,0,0
881.39,0.0,0.0,0.0,0,0,0,-2,0,0,0
1085.28,0.0,0.0,0.0,0,0,0,-2,0,0,0
1459.64,18.47,0.0,0.0,0,0,0,-2,0,0,0
1528.34,0.0,0.0,917.59,0,0,0,-2,0,0,0
1010.7,1379.84,0.0,0.0,0,0,0,-2,0,0,0
863.93,563.89,0.0,0.0,0,0,0,-2,0,0,0
686.6,481.63,0.0,0.0,0,0,3,0,0,0,0
2781.15,0.0,0.0,0.0,2,2,0,-2,0,0,0
575.01,0.0,0.0,311.38,0,0,0,-2,0,0,0
4842.29,0.0,0.0,2632.14,0,0,0,-2,0,0,0
1005.4,745.02,0.0,0.0,0,0,0,-2,0,0,0
1322.77,910.68,0.0,0.0,0,0,0,-2,0,0,0
2003.35,0.0,0.0,0.0,0,0,0,-2,0,0,0
1696.26,0.0,0.0,0.0,0,0,3,0,0,0,0
999.41,694.94,0.0,0.0,0,0,0,-2,0,0,0
853.4,532.11,0.0,0.0,2,0,0,-2,0,0,0
557.43,0.0,0.0,0.0,0,0,0,-2,0,0,0
1344.75,0.0,0.0,0.0,0,0,3,0,0,0,0
715.76,1921.77,0.0,0.0,0,0,0,-2,1,0,0
2162.2,0.0,1544.61,0.0,0,0,0,-2,0,0,0
1570.21,0.0,0.0,0.0,0,0,0,-2,0,0,0
767.29,723.15,0.0,0.0,0,3,0,-2,1,0,0
1005.25,474.59,0.0,0.0,0,0,0,-2,0,0,0
1926.84,0.0,0.0,0.0,0,0,0,-2,0,0,0
1079.96,0.0,0.0,0.0,0,0,0,-2,0,0,0
2445.16,0.0,1471.36,0.0,0,0,0,-2,0,0,0
1639.35,0.0,0.0,0.0,0,0,3,0,1,0,0
1140.18,0.0,0.0,0.0,0,0,0,-2,0,0,0
4155.74,0.0,0.0,0.0,2,3,2,1,1,0,0
1404.37,0.0,3207.71,80.53,0,0,0,-2,0,0,0
5149.82,0.0,0.0,0.0,3,0,2,0,0,0,0
1040.7,0.0,0.0,0.0,3,0,0,-2,0,0,0
1204.4,691.63,0.0,0.0,0,0,0,-2,0,0,0
1574.39,0.0,0.0,1483.49,0,0,0,-2,0,0,0
529.43,0.0,0.0,0.0,0,0,0,-2,0,0,0
2339.03,0.0,0.0,0.0,1,1,0,-2,0,0,0
1012.87,0.0,0.0,826.81,3,0,0,-2,0,0,0
1218.58,757.03,0.0,0.0,0,0,0,-2,0,0,0
168.98,0.0,1035.7,48.85,0,0,0,-2,0,0,0
1562.53,659.43,0.0,0.0,0,0,0,-2,0,0,0
231.78,295.38,0.0,0.0,0,3,0,-2,0,0,0
994.6,910.44,0.0,0.0,0,0,0,-2,0,0,0
1482.8,360.77,0.0,0.0,2,0,3,0,0,0,0
1555.46,0.0,0.0,207.66,0,0,0,-2,0,0,0
3200.48,1142.83,0.0,0.0,0,0,0,-2,0,0,0
512.79,436.53,0.0,0.0,0,0,0,-2,0,0,0
2260.18,1121.63,0.0,0.0,2,2,0,-2,0,0,0
1682.29,0.0,0.0,0.0,0,0,0,-2,0,0,0
1880.27,0.0,0.0,0.0,0,0,0,-2,0,0,0
1356.67,0.0,0.0,6.99,1,2,2,0,1,0,0
1808.21,0.0,0.0,23.24,0,0,0,-2,0,0,0
768.12,477.77,0.0,0.0,0,0,0,-2,0,0,0
577.5,0.0,0.0,0.0,2,2,0,-2,0,0,0
1556.11,0.0,0.0,0.0,0,0,0,-2,0,0,0
997.59,746.23,0.0,0.0,0,0,0,-2,0,0,0
2113.29,297.2,0.0,0.0,0,0,0,-2,0,0,0
3185.02,0.0,1444.33,0.0,0,0,0,-2,0,0,0
1420.62,290.36,0.0,0.0,0,0,0,-2,0,0,0
1572.6,1219.49,0.0,0.0,0,0,0,-2,0,0,0
1083.01,0.0,1698.39,0.0,2,0,0,-2,0,0,0
430.15,0.0,0.0,0.0,0,0,0,-2,0,0,0
727.53,572.89,0.0,0.0,0,0,0,-2,0,0,0
1100.41,590.74,0.0,0.0,0,0,0,-2,0,0,0
1627.21,510.78,0.0,0.0,0,0,0,-2,0,0,0
1675.4,0.0,0.0,0.0,0,0,0,-2,0,0,0
1239.9,0.0,0.0,0.0,0,0,0,-2,0,0,0
1575.4,1216.43,0.0,0.0,0,0,0,-2,0,0,0
